January 2018 NDC - HCPCS  Crosswalk for Medicare Part B Drugs,,,,,,,,,
"Effective January 1, 2018 through March 31, 2018",,,,,,,,,
,,,,,,,,,
The ASP crosswalks are maintained by the Division of Ambulatory Services to support ASP-based Medicare Part B payments only. The crosswalks are intended to help the public (including entities that submit manufacturer ASP data and providers who bill for drugs) understand which drug products (identified by NDCs) are assigned to which HCPCS billing codes. The crosswalks are not intended to be a comprehensive list of all drugs/NDCs available in the United States. The NDC to HCPCS Crosswalk also includes information on the NDC package size and the number of billable units (as defined by the HCPCS code descriptor). Comments on the file may be sent to sec303aspdata@cms.hhs.gov.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Descriptor,LABELER NAME,NDC,DRUG NAME,HCPCS DOSAGE,PKG SIZE,PKG QTY,BILLUNITS,BILLUNITSPKG
90630,Flu vacc iiv4 no preserv id,Sanofi Pasteur,49281-0710-40,Fluzone Intradermal Quadrivalent (Preservative Free) 2016/2017,0.1 ML,0.1,10,1,10
90630,Flu vacc iiv4 no preserv id,Sanofi Pasteur,49281-0712-40,Fluzone Intradermal Quadrivalent (Preservative Free) 2017/2018,0.1 ML,0.1,10,1,10
90653,Iiv adjuvant vaccine im,Seqirus,70461-0001-01,Fluad (Preservative Free) 2016/2017,0.5 ML,0.5,10,1,10
90653,Iiv adjuvant vaccine im,Seqirus,70461-0002-01,Fluad (Preservative Free) 2017/2018,0.5 ML,0.5,10,1,10
90656,IIV3 VACC NO PRSV 0.5 ML IM,Seqirus,33332-0016-01,Afluria (Preservative Free) 2016/2017,0.5 ML,0.5,10,1,10
90656,IIV3 VACC NO PRSV 0.5 ML IM,Seqirus,33332-0017-01,Afluria (Preservative Free) 2017/2018,0.5 ML,0.5,10,1,10
90656,IIV3 VACC NO PRSV 0.5 ML IM,Seqirus,70461-0119-02,Fluvirin (Preservative Free) 2016/2017,0.5 ML,0.5,10,1,10
90656,IIV3 VACC NO PRSV 0.5 ML IM,Seqirus,70461-0120-02,Fluvirin (Preservative Free) 2017/2018,0.5 ML,0.5,10,1,10
90662,Iiv no prsv increased ag im,Sanofi Pasteur,49281-0399-65,Fluzone High-Dose (Preservative Free) 2016/2017,0.5 ML,0.5,10,1,10
90662,Iiv no prsv increased ag im,Sanofi Pasteur,49281-0401-65,Fluzone High-Dose (Preservative Free) 2017/2018,0.5 ML,0.5,10,1,10
90670,PCV13 VACCINE IM,Wyeth/PFIZER U.S.,00005-1971-02,Prevnar - 13,0.5 ML,0.5,10,1,10
90670,PCV13 VACCINE IM,Wyeth/PFIZER U.S.,00005-1971-04,Prevnar - 13,0.5 ML,0.5,1,1,1
90670,PCV13 VACCINE IM,Wyeth/PFIZER U.S.,00005-1971-05,Prevnar - 13,0.5 ML,0.5,1,1,1
90672,Laiv4 vaccine intranasal,"MedImmune, LLC",66019-0303-10,Flumist Quadrivalent 2016/2017,0.2 ML,0.2,10,1,10
90673,Riv3 vaccine no preserv im,Protein Sciences,42874-0017-10,Flublok (Preservative Free) 2017/2018,0.5 ML,0.5,10,1,10
90673,Riv3 vaccine no preserv im,Protein Sciences,42874-0016-10,Flublok (Preservative Free) 2016/2017,0.5 ML,0.5,10,1,10
90674,CCIIV4 VAC NO PRSV 0.5 ML IM,Seqirus,70461-0200-01,Flucelvax Quadrivalent (Preservative Free) 2016/2017,0.5 ML,0.5,10,1,10
90674,CCIIV4 VAC NO PRSV 0.5 ML IM,Seqirus,70461-0201-01,Flucelvax Quadrivalent (Preservative Free) 2017/2018,0.5 ML,0.5,10,1,10
90682,RIV4 VACC RECOMBINANT DNA IM,Protein Sciences,42874-0117-10,Flublok Quadrivalent (Preservative Free) 2017/2018,0.5 ML,0.5,10,1,10
90685,IIV4 VACC NO PRSV 0.25 ML IM,Sanofi Pasteur,49281-0517-25,Fluzone Quadrivalent (Preservative Free) 2017/2018,0.25 ML,0.25,10,1,10
90685,IIV4 VACC NO PRSV 0.25 ML IM,Sanofi Pasteur,49281-0516-25,Fluzone Quadrivalent (Preservative Free) 2016/2017,0.25 ML,0.25,10,1,10
90686,IIV4 VACC NO PRSV 0.5 ML IM,ID Biomedical,33332-0317-01,Afluria Quadrivalent (Preservative Free) 2017/2018,0.5 ML,0.5,10,1,10
90686,IIV4 VACC NO PRSV 0.5 ML IM,GlaxoSmithKline,58160-0905-52,Fluarix Quadrivalent (Preservative Free) 2016/2017,0.5 ML,0.5,10,1,10
90686,IIV4 VACC NO PRSV 0.5 ML IM,ID Biomedical,58160-0907-52,Fluarix Quadrivalent (Preservative Free) 2017/2018,0.5 ML,0.5,10,1,10
90686,IIV4 VACC NO PRSV 0.5 ML IM,ID Biomedical,19515-0908-52,Flulaval Quadrivalent (Preservative Free) 2016/2017,0.5 ML,0.5,10,1,10
