January 2018 ASP NDC - HCPCS Crosswalk for Medicare Part B Drugs,,,,,,,,,
"     Effective January 1, 2018 through March 31, 2018",,,,,,,,,
,,,,,,,,,
Note 1: This crosswalk is based on published drug and biological pricing data and information submitted to CMS by manufacturers. The information is intended to support ASP-based ,,,,,,,,,
Medicare Part B payments only. ,,,,,,,,,
Note 2: Please submit comments on the crosswalk to e-mail address: sec303aspdata@cms.hhs.gov. ,,,,,,,,,
,,,,,,,,,
_2018_CODE,Short Description,LABELER NAME,NDC2,Drug Name,HCPCS dosage,PKG SIZE,PKG QTY,BILLUNITS,BILLUNITSPKG
90371,Hep b ig im,"Grifols USA, LLC.",13533-0636-02,HyperHepB S/D,1 ML,1,1,1,1
90371,Hep b ig im,"Grifols USA, LLC.",13533-0636-03,HyperHepB S/D,1 ML,0.5,1,0.5,0.5
90371,Hep b ig im,"Grifols USA, LLC.",13533-0636-05,HyperHepB S/D,1 ML,5,1,5,5
90371,Hep b ig im,Biotest Pharmaceuticals Corporation,59730-4202-01,Nabi-Hb,1 ML,1,1,1,1
90371,Hep b ig im,Biotest Pharmaceuticals Corporation,59730-4203-01,Nabi-Hb,1 ML,5,1,5,5
90375,Rabies ig im/sc,"Grifols USA, LLC.",13533-0618-02,HyperRab S/D,150 IU,2,1,2,2
90375,Rabies ig im/sc,"Grifols USA, LLC.",13533-0618-10,HyperRab S/D,150 IU,10,1,10,10
90376,Rabies ig heat treated,sanofi pasteur,49281-0190-10,Imogam Rabies-Ht,150 IU,10,1,10,10
90376,Rabies ig heat treated,sanofi pasteur,49281-0190-20,Imogam Rabies-Ht,150 IU,2,1,2,2
90585,Bcg vaccine percut,"Organon USA, Inc.",00052-0602-02,Tice Bcg,50 MG,1,1,1,1
90585,Bcg vaccine percut,"Organon USA, Inc.",00052-0603-02,Tice Bcg,50 MG,1,1,1,1
90586,Bcg vaccine intravesical,"Organon USA, Inc.",00052-0602-02,Tice Bcg,1 EACH,1,1,1,1
90586,Bcg vaccine intravesical,"Organon USA, Inc.",00052-0603-02,Tice Bcg,1 EACH,1,1,1,1
90632,Hepa vaccine adult im,Merck Sharp & Dohme Corp.,00006-4096-02,Vaqta,1 ML,1,10,1,10
90632,Hepa vaccine adult im,Merck Sharp & Dohme Corp.,00006-4841-00,Vaqta,1 ML,1,1,1,1
90632,Hepa vaccine adult im,Merck Sharp & Dohme Corp.,00006-4841-41,Vaqta,1 ML,1,10,1,10
90632,Hepa vaccine adult im,GlaxoSmithkline,58160-0826-11,Havrix,1 ML,1,10,1,10
90632,Hepa vaccine adult im,GlaxoSmithkline,58160-0826-52,Havrix,1 ML,1,10,1,10
90675,Rabies vaccine im,sanofi pasteur,49281-0250-51,Imovax Rabies,1 ML,1,1,1,1
90675,Rabies vaccine im,GLAXO SMITH KLINE,58160-0964-12,RABAVERT,1 ML,1,1,1,1
90675,Rabies vaccine im,GlaxoSmithkline,63851-0501-02,RABAVERT,1 ML,1,1,1,1
90691,Typhoid vaccine im,A-S Medication Solutions,54569-4110-00,Typhim Vi,0.5 ML,0.5,1,1,1
90691,Typhoid vaccine im,A-S Medication Solutions,54569-5567-00,Typhim Vi,0.5 ML,10,1,20,20
90714,Td vacc no presv 7 yrs+ im,"Grifols USA, LLC.",13533-0131-01,Tetanus-Diphtheria Toxoids Td,0.5 ML,0.5,10,1,10
90714,Td vacc no presv 7 yrs+ im,sanofi pasteur,49281-0215-10,Tetanus-Diphtheria Toxoids Td,0.5 ML,0.5,10,1,10
