January 2018 ASP NOC NDC - HCPCS Crosswalk for Medicare Part B Drugs,,,,,,,,
"     January 1, 2018 through March 31, 2018",,,,,,,,
,,,,,,,,
Note 1: This crosswalk is based on published drug and biological pricing data and information submitted to CMS by manufacturers. The information is ,,,,,,,,
intended to support  ASP-based Medicare Part B payments only. ,,,,,,,,
Note 2: Please submit comments on the crosswalk to e-mail address: sec303aspdata@cms.hhs.gov. ,,,,,,,,
,,,,,,,,
Drug Generic Name,LABELER NAME,NDC or ALTERNATE ID,Drug Name,Dosage,PKG SIZE,PKG QTY,BILLUNITS,BILLUNITSPKG
Alfentanil Hcl,Akorn,17478-0067-02,ALFENTA,500 MCG,2,10,2,20
Alfentanil Hcl,Akorn,17478-0067-05,Alfenta,500 MCG,5,10,5,50
Allopurinol Sodium,WEST-WARD PHARMACEUTICAL CORP.,00143-9533-01,Allopurinol Sodium,500 MG,1,1,1,1
Allopurinol Sodium,Mylan Institutional,67457-0187-50,Aloprim,500 MG,1,1,1,1
Aminocaproic acid,"HOSPIRA, INC",00409-4346-10,Aminocaproic Acid,250 MG,20,25,20,500
Aminocaproic acid,"HOSPIRA, INC",00409-4346-73,AMINOCAPROIC ACID INJ,250 MG,20,25,20,500
Aztreonam,Bristol-Myers Squibb Company,00003-2230-11,Azactam In Galaxy Container,500 MG,50,24,2,48
Aztreonam,Bristol-Myers Squibb Company,00003-2240-11,Azactam In Galaxy Container,500 MG,50,24,4,96
Aztreonam,Bristol-Myers Squibb Company,00003-2560-16,AZACTAM,500 MG,1,10,2,20
Aztreonam,Bristol-Myers Squibb Company,00003-2570-16,AZACTAM,500 MG,1,10,4,40
Aztreonam,Fresenius Kabi USA LLC,63323-0401-20,Aztreonam,500 MG,1,10,2,20
Aztreonam,Fresenius Kabi USA LLC,63323-0401-24,Aztreonam,500 MG,1,10,2,20
Aztreonam,Fresenius Kabi USA LLC,63323-0401-26,Aztreonam,500 MG,1,10,2,20
Aztreonam,Fresenius Kabi USA LLC,63323-0402-20,Aztreonam,500 MG,1,10,4,40
Aztreonam,Fresenius Kabi USA LLC,63323-0402-24,Aztreonam,500 MG,1,10,4,40
Aztreonam,Fresenius Kabi USA LLC,63323-0402-30,Aztreonam,500 MG,1,10,4,40
Bumetanide,"HOSPIRA, INC",00409-1412-04,Bumetanide,0.25 MG,4,10,4,40
Bumetanide,"HOSPIRA, INC",00409-1412-10,Bumetanide,0.25 MG,10,10,10,100
Bumetanide,West-Ward Pharmaceuticals Corp,00641-6007-10,Bumetanide,0.25 MG,10,10,10,100
Bumetanide,West-Ward Pharmaceuticals Corp,00641-6008-10,Bumetanide,0.25 MG,4,10,4,40
Bumetanide,West-Ward Pharmaceuticals Corp,00641-6161-10,Bumetanide,0.25 MG,4,10,4,40
Bumetanide,West-Ward Pharmaceuticals Corp,00641-6162-10,Bumetanide,0.25 MG,10,10,10,100
